Subj,Age,Sex,Block,Cue_L,Cue_R,Out_C,Out_I,Norm_Rev,Resp_Key,Acc,RT,FixReps
101,19,f,1,4,1,1,2,0,65,0,1922.74864149022,0
101,19,f,1,1,3,1,2,0,75,1,1247.2127992387,0
101,19,f,1,2,4,2,1,0,65,1,1396.58243032682,0
101,19,f,1,3,1,1,2,0,90,0,1301.59151321732,0
101,19,f,1,1,3,1,2,0,65,0,1332.31305515437,0
101,19,f,1,1,4,1,2,0,65,1,794.40247619641,0
101,19,f,1,3,1,1,2,0,75,1,1898.60759195653,0
101,19,f,1,4,2,2,1,0,75,1,1838.98018064338,0
101,19,f,2,4,1,1,2,0,65,1,1095.97376496458,0
101,19,f,2,4,2,2,1,0,75,1,1454.09351906073,0
101,19,f,2,2,4,2,1,0,65,1,896.217182812507,0
101,19,f,2,3,2,2,1,0,75,1,2524.73118084799,0
101,19,f,2,3,2,2,1,0,90,1,2250.72430695036,0
101,19,f,2,2,4,2,1,0,75,1,1539.94721116851,0
101,19,f,2,1,3,1,2,0,65,1,1584.14216036999,0
101,19,f,2,3,2,2,1,0,65,1,1186.49960667972,0
101,19,f,3,4,2,2,1,0,77,1,1320.41081591433,0
101,19,f,3,2,3,2,1,0,75,1,1733.07319258311,0
101,19,f,3,3,1,1,2,0,90,1,1529.88298194123,0
101,19,f,3,3,2,2,1,0,65,1,1129.67162135556,0
101,19,f,3,4,1,1,2,0,90,0,1385.17040758597,0
101,19,f,3,2,3,2,1,0,75,1,1355.73145795297,0
101,19,f,3,1,4,1,2,0,77,1,835.036714921443,0
101,19,f,3,1,3,1,2,0,75,1,1203.00637945547,0
101,19,f,4,3,2,2,1,0,90,1,1564.86403434883,0
101,19,f,4,4,2,2,1,0,90,1,1483.82798713556,0
101,19,f,4,2,4,2,1,0,75,1,1636.95483789979,0
101,19,f,4,2,3,2,1,0,77,1,950.317282365177,0
101,19,f,4,1,4,1,2,0,75,1,1204.86461391556,0
101,19,f,4,4,1,1,2,0,77,1,1074.92554686087,0
101,19,f,4,1,3,1,2,0,65,1,910.427725968475,0
101,19,f,4,2,3,2,1,0,90,1,1344.72150933561,0
101,19,f,5,3,2,2,1,0,77,1,1099.04244779773,0
101,19,f,5,3,2,2,1,0,77,1,1056.59283837213,0
101,19,f,5,1,3,1,2,0,77,1,853.551443451579,0
101,19,f,5,1,4,1,2,0,75,1,1316.98503571897,0
101,19,f,5,2,3,2,1,0,90,1,953.737629127318,0
101,19,f,5,2,3,2,1,0,90,1,1010.01653575167,0
101,19,f,5,3,1,1,2,0,90,0,1301.12786017526,0
101,19,f,5,4,2,2,1,0,77,1,982.876834312265,0
101,19,f,6,2,4,2,1,0,90,1,869.544152990784,0
101,19,f,6,3,1,1,2,0,65,1,686.685550867878,0
101,19,f,6,1,4,1,2,0,75,1,937.274323823658,0
101,19,f,6,4,1,1,2,0,77,1,712.081119962932,0
101,19,f,6,4,2,2,1,0,75,1,1538.29363606019,0
101,19,f,6,2,4,2,1,0,77,1,638.152306402844,0
101,19,f,6,3,1,1,2,0,75,1,1285.29060722303,0
101,19,f,6,4,1,1,2,0,75,1,1261.41972010555,0
101,19,f,7,3,1,1,2,0,77,1,845.590255075876,0
101,19,f,7,2,3,2,1,0,75,1,1071.83513029122,0
101,19,f,7,3,2,2,1,0,65,1,992.279693868113,0
101,19,f,7,2,3,2,1,0,77,1,691.4479558518,0
